week_start,elec_price,nat_gas_price,wind_speed,sunshine_duration
2021-05-24,56.68,25.795,3.976735819627112,74.19029209390473
2021-05-31,65.45,27.845,2.872253968428387,81.87862741664655
2021-06-07,63.79,29.405,2.8967683982475863,88.26276771041422
2021-06-14,75.43,32.385,3.0465644478028806,98.45441239146113
2021-06-21,83.49,35.827,2.6800157212496076,77.13430377540621
2021-06-28,89.33,36.632,2.928234997361805,67.0121858297351
2021-07-05,90.33,34.84,2.9216688130005237,61.333081271313894
2021-07-12,79.72,35.525,3.294518470015523,67.97219027545488
2021-07-19,83.39,40.755,2.7256815717011227,84.10682265413716
2021-07-26,64.92,43.12,4.169230088493839,79.10317825112563
2021-08-02,72.58,44.63,3.2710446370072956,72.54509117462689
2021-08-09,83.7,41.944,3.2039717778845658,84.40034107317788
2021-08-16,80.99,47.806,4.3545921275626736,58.064290465226605
2021-08-23,89.65,51.505,4.157067557223524,54.469749491679785
2021-08-30,108.82,57.916,3.009331939115673,71.84531843452875
2021-09-06,126.19,65.103,2.5560928397478397,74.851890927639
2021-09-13,142.36,70.24,3.1970992489237746,52.32701588614082
2021-09-20,126.0,93.625,3.6916817145502203,57.04930660125465
2021-09-27,112.79,87.605,4.619661231794834,52.94663526852443
2021-10-04,184.6,93.65,3.1865757952799756,47.04076727070867
2021-10-11,158.13,87.34,4.0622078878210734,41.5584932253908
2021-10-18,110.78,64.865,5.357255144775009,41.820147242281436
2021-10-25,129.26,74.025,4.292553949571521,46.98972635627362
2021-11-01,133.87,75.675,4.40221617228386,27.295050745233425
2021-11-08,171.47,87.125,3.1261690344362467,33.980003271007725
2021-11-15,167.52,87.772,4.184671161573122,13.32463358495768
2021-11-22,226.39,89.48,3.544093668586561,21.59989724985143
2021-11-29,168.54,105.775,5.317077590017988,17.096308088508298
2021-12-06,229.11,136.915,3.848392019523232,15.285640939444583
2021-12-13,273.9,132.58,3.6518091955967154,8.759245057119212
2021-12-20,292.54,70.345,3.3457166874628523,22.326518117332043
2021-12-27,89.14,88.175,4.984407292995861,18.489290820347822
2022-01-03,144.52,86.97,5.283826454436336,22.016085460698285
2022-01-10,208.33,78.98,3.5366611672380297,27.32730860873042
2022-01-17,169.11,92.062,4.962155969630439,16.561609479235305
2022-01-24,174.39,82.65,5.706150311000931,25.86131591174701
2022-01-31,136.18,77.425,6.3344341478413595,17.40088252295017
2022-02-07,141.77,73.76,5.250402345864744,41.19360925592693
2022-02-14,95.4,94.422,7.679851044495727,31.650623733397772
2022-02-21,139.99,192.55,5.8264685995902505,51.59314576401482
2022-02-28,301.52,131.23,2.993115177775506,58.15956689421994
2022-03-07,277.55,105.045,3.93432878682068,71.95592777005862
2022-03-14,208.8,101.27,3.8955931072955656,53.236115624031605
2022-03-21,221.74,112.15,2.555273325462243,76.94296658856156
2022-03-28,207.34,103.88,4.25638526637138,30.691656706612946
2022-04-04,101.31,95.62,6.552565928881164,42.678064311745324
2022-04-11,187.06,94.875,3.3674577707260207,76.15217226237795
2022-04-18,158.62,99.45,4.0066031720741,69.85377722480521
2022-04-25,219.76,101.71,2.623289667556007,67.81482856038566
2022-05-02,214.51,96.88,2.474855988291083,79.14087122542661
2022-05-09,171.3,87.9,3.7962591196296436,87.64322683632757
2022-05-16,190.53,86.875,3.5712588046944767,84.85573300269027
2022-05-23,119.49,83.1,5.247564589670873,72.03514935990113
2022-05-30,189.85,82.465,2.9319021730918995,82.72372757100467
2022-06-06,155.49,117.74,3.5544184815337125,81.85635677721952
2022-06-13,197.12,128.505,3.252753049425984,97.02311968562431
2022-06-20,270.11,147.785,2.890065127807755,86.53601760711622
2022-06-27,288.94,175.21,3.16667227336294,82.49023285645528
2022-07-04,241.18,159.565,4.632416826210925,77.30282829028074
2022-07-11,313.77,159.865,3.638904890952962,89.22221632358719
2022-07-18,355.09,190.915,3.138098366516642,91.16631114694113
2022-07-25,380.19,196.32,3.4844979276088646,80.68430355917373
2022-08-01,353.31,206.11,3.056735839249241,83.24154606219955
2022-08-08,364.66,244.55,2.822583060961833,91.58104609189218
2022-08-15,481.47,339.195,2.7432902483710198,66.46775563573959
2022-08-22,585.92,214.665,3.1805958200548754,72.36210633584211
