"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2023","28.164","24.465","30.530","24.465","6.40K","8.50%"
"07/09/2023","25.957","32.830","32.830","25.110","5.04K","-22.47%"
"07/02/2023","33.478","37.820","37.820","32.300","2.37K","-9.77%"
"06/25/2023","37.103","34.305","37.650","32.300","0.34K","14.14%"
"06/18/2023","32.507","32.650","39.350","31.880","3.20K","-7.15%"
"06/11/2023","35.010","31.605","43.530","29.400","0.71K","9.24%"
"06/04/2023","32.050","24.250","33.015","24.250","1.84K","35.29%"
"05/28/2023","23.690","24.681","27.950","23.125","0.53K","-3.38%"
"05/21/2023","24.520","30.200","30.200","23.790","0.41K","-18.74%"
"05/14/2023","30.175","32.305","33.600","29.975","0.97K","-7.90%"
"05/07/2023","32.765","36.850","37.250","32.350","1.36K","-10.42%"
"04/30/2023","36.575","38.835","38.835","35.700","1.45K","-5.10%"
"04/23/2023","38.540","39.925","39.925","38.300","0.02K","-4.05%"
"04/16/2023","40.165","42.185","42.990","39.805","0.97K","-2.39%"
"04/09/2023","41.150","43.125","44.365","41.050","0.63K","-4.58%"
"04/02/2023","43.125","49.900","51.835","42.895","0.39K","-9.87%"
"03/26/2023","47.845","42.530","44.950","42.530","0.02K","16.43%"
"03/19/2023","41.095","40.100","43.810","38.855","0.43K","-4.11%"
"03/12/2023","42.855","49.250","51.825","42.000","0.37K","-18.92%"
"03/05/2023","52.855","43.300","54.230","41.150","0.11K","17.51%"
"02/26/2023","44.980","47.299","48.200","45.075","0.02K","-11.83%"
"02/19/2023","51.015","50.800","51.015","50.570","0.00K","4.02%"
"02/12/2023","49.045","51.705","54.200","49.500","0.02K","-9.08%"
"02/05/2023","53.945","58.110","58.110","52.735","0.01K","-6.81%"
"01/29/2023","57.890","56.850","60.200","55.500","0.03K","4.45%"
"01/22/2023","55.425","65.200","65.200","53.000","0.01K","-17.15%"
"01/15/2023","66.900","65.000","66.500","54.500","0.04K","3.22%"
"01/08/2023","64.810","71.050","76.000","62.800","0.04K","-6.80%"
"01/01/2023","69.535","72.315","76.000","65.020","0.01K","-8.88%"
"12/25/2022","76.315","80.045","83.830","76.315","","-8.03%"
"12/18/2022","82.975","108.545","108.545","82.975","","-28.13%"
"12/11/2022","115.450","136.590","137.530","115.450","","-17.01%"
